"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
"43",7700000,6480,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished"
"44",7700000,6000,4,2,4,"yes","no","no","no","no",2,"no","semi-furnished"
"45",7560000,6000,4,2,4,"yes","no","no","no","yes",1,"no","furnished"
"46",7560000,6000,3,2,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"47",7525000,6000,3,2,4,"yes","no","no","no","yes",1,"no","furnished"
"48",7490000,6600,3,1,4,"yes","no","no","no","yes",3,"yes","furnished"
"49",7455000,4300,3,2,2,"yes","no","yes","no","no",1,"no","unfurnished"
"50",7420000,7440,3,2,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"51",7420000,7440,3,2,4,"yes","no","no","no","no",1,"yes","unfurnished"
"52",7420000,6325,3,1,4,"yes","no","no","no","yes",1,"no","unfurnished"
"53",7350000,6000,4,2,4,"yes","yes","no","no","yes",1,"no","furnished"
"54",7350000,5150,3,2,4,"yes","no","no","no","yes",2,"no","semi-furnished"
"55",7350000,6000,3,2,2,"yes","yes","no","no","yes",1,"no","semi-furnished"
"56",7350000,6000,3,1,2,"yes","no","no","no","yes",1,"no","unfurnished"
"57",7343000,11440,4,1,2,"yes","no","yes","no","no",1,"yes","semi-furnished"
"58",7245000,9000,4,2,4,"yes","yes","no","no","yes",1,"yes","furnished"
"59",7210000,7680,4,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished"
"60",7210000,6000,3,2,4,"yes","yes","no","no","yes",1,"no","furnished"
"61",7140000,6000,3,2,2,"yes","yes","no","no","no",1,"no","semi-furnished"
"62",7070000,8880,2,1,1,"yes","no","no","no","yes",1,"no","semi-furnished"
"63",7070000,6240,4,2,2,"yes","no","no","no","yes",1,"no","furnished"
"64",7035000,6360,4,2,3,"yes","no","no","no","yes",2,"yes","furnished"
"65",7000000,11175,3,1,1,"yes","no","yes","no","yes",1,"yes","furnished"
"66",6930000,8880,3,2,2,"yes","no","yes","no","yes",1,"no","furnished"
"67",6930000,13200,2,1,1,"yes","no","yes","yes","no",1,"no","furnished"
"68",6895000,7700,3,2,1,"yes","no","no","no","no",2,"no","unfurnished"
"69",6860000,6000,3,1,1,"yes","no","no","no","yes",1,"no","furnished"
"70",6790000,12090,4,2,2,"yes","no","no","no","no",2,"yes","furnished"
"71",6790000,4000,3,2,2,"yes","no","yes","no","yes",0,"yes","semi-furnished"
"72",6755000,6000,4,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"73",6720000,5020,3,1,4,"yes","no","no","no","yes",0,"yes","unfurnished"
"74",6685000,6600,2,2,4,"yes","no","yes","no","no",0,"yes","furnished"
"75",6650000,4040,3,1,2,"yes","no","yes","yes","no",1,"no","furnished"
"76",6650000,4260,4,2,2,"yes","no","no","yes","no",0,"no","semi-furnished"
"77",6650000,6420,3,2,3,"yes","no","no","no","yes",0,"yes","furnished"
"78",6650000,6500,3,2,3,"yes","no","no","no","yes",0,"yes","furnished"
"79",6650000,5700,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished"
"80",6650000,6000,3,2,3,"yes","yes","no","no","yes",0,"no","furnished"
"81",6629000,6000,3,1,2,"yes","no","no","yes","no",1,"yes","semi-furnished"
"82",6615000,4000,3,2,2,"yes","no","yes","no","yes",1,"no","semi-furnished"
"83",6615000,10500,3,2,1,"yes","no","yes","no","yes",1,"yes","furnished"
"84",6580000,6000,3,2,4,"yes","no","no","no","yes",0,"no","semi-furnished"
"85",6510000,3760,3,1,2,"yes","no","no","yes","no",2,"no","semi-furnished"
"86",6510000,8250,3,2,3,"yes","no","no","no","yes",0,"no","furnished"
"87",6510000,6670,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
"88",6475000,3960,3,1,1,"yes","no","yes","no","no",2,"no","semi-furnished"
"89",6475000,7410,3,1,1,"yes","yes","yes","no","yes",2,"yes","unfurnished"
"90",6440000,8580,5,3,2,"yes","no","no","no","no",2,"no","furnished"
"91",6440000,5000,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"92",6419000,6750,2,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
"93",6405000,4800,3,2,4,"yes","yes","no","no","yes",0,"no","furnished"
"94",6300000,7200,3,2,1,"yes","no","yes","no","yes",3,"no","semi-furnished"
"95",6300000,6000,4,2,4,"yes","no","no","no","no",1,"no","semi-furnished"
"96",6300000,4100,3,2,3,"yes","no","no","no","yes",2,"no","semi-furnished"
"97",6300000,9000,3,1,1,"yes","no","yes","no","no",1,"yes","furnished"
"98",6300000,6400,3,1,1,"yes","yes","yes","no","yes",1,"yes","semi-furnished"
"99",6293000,6600,3,2,3,"yes","no","no","no","yes",0,"yes","unfurnished"
"100",6265000,6000,4,1,3,"yes","yes","yes","no","no",0,"yes","unfurnished"
"101",6230000,6600,3,2,1,"yes","no","yes","no","yes",0,"yes","unfurnished"
"102",6230000,5500,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished"
"103",6195000,5500,3,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished"
"104",6195000,6350,3,2,3,"yes","yes","no","no","yes",0,"no","furnished"
"105",6195000,5500,3,2,1,"yes","yes","yes","no","no",2,"yes","furnished"
"106",6160000,4500,3,1,4,"yes","no","no","no","yes",0,"no","unfurnished"
"107",6160000,5450,4,2,1,"yes","no","yes","no","yes",0,"yes","semi-furnished"
"108",6125000,6420,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
"109",6107500,3240,4,1,3,"yes","no","no","no","no",1,"no","semi-furnished"
"110",6090000,6615,4,2,2,"yes","yes","no","yes","no",1,"no","semi-furnished"
"111",6090000,6600,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
"112",6090000,8372,3,1,3,"yes","no","no","no","yes",2,"no","unfurnished"
"113",6083000,4300,6,2,2,"yes","no","no","no","no",0,"no","furnished"
"114",6083000,9620,3,1,1,"yes","no","yes","no","no",2,"yes","furnished"
"115",6020000,6800,2,1,1,"yes","yes","yes","no","no",2,"no","furnished"
"116",6020000,8000,3,1,1,"yes","yes","yes","no","yes",2,"yes","semi-furnished"
"117",6020000,6900,3,2,1,"yes","yes","yes","no","no",0,"yes","unfurnished"
"118",5950000,3700,4,1,2,"yes","yes","no","no","yes",0,"no","furnished"
"119",5950000,6420,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
"120",5950000,7020,3,1,1,"yes","no","yes","no","yes",2,"yes","semi-furnished"
"121",5950000,6540,3,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
"122",5950000,7231,3,1,2,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"123",5950000,6254,4,2,1,"yes","no","yes","no","no",1,"yes","semi-furnished"
"124",5950000,7320,4,2,2,"yes","no","no","no","no",0,"no","furnished"
"125",5950000,6525,3,2,4,"yes","no","no","no","no",1,"no","furnished"
"126",5943000,15600,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"127",5880000,7160,3,1,1,"yes","no","yes","no","no",2,"yes","unfurnished"
"128",5880000,6500,3,2,3,"yes","no","no","no","yes",0,"no","unfurnished"
"129",5873000,5500,3,1,3,"yes","yes","no","no","yes",1,"no","furnished"
"130",5873000,11460,3,1,3,"yes","no","no","no","no",2,"yes","semi-furnished"
"131",5866000,4800,3,1,1,"yes","yes","yes","no","no",0,"no","unfurnished"
"132",5810000,5828,4,1,4,"yes","yes","no","no","no",0,"no","semi-furnished"
"133",5810000,5200,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"134",5810000,4800,3,1,3,"yes","no","no","no","yes",0,"no","unfurnished"
"135",5803000,7000,3,1,1,"yes","no","yes","no","no",2,"yes","semi-furnished"
"136",5775000,6000,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"137",5740000,5400,4,2,2,"yes","no","no","no","yes",2,"no","unfurnished"
"138",5740000,4640,4,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"139",5740000,5000,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"140",5740000,6360,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished"
"141",5740000,5800,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"142",5652500,6660,4,2,2,"yes","yes","yes","no","no",1,"yes","semi-furnished"
"143",5600000,10500,4,2,2,"yes","no","no","no","no",1,"no","semi-furnished"
"144",5600000,4800,5,2,3,"no","no","yes","yes","no",0,"no","unfurnished"
"145",5600000,4700,4,1,2,"yes","yes","yes","no","yes",1,"no","furnished"
"146",5600000,5000,3,1,4,"yes","no","no","no","no",0,"no","furnished"
"147",5600000,10500,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"148",5600000,5500,3,2,2,"yes","no","no","no","no",1,"no","semi-furnished"
"149",5600000,6360,3,1,3,"yes","no","no","no","no",0,"yes","semi-furnished"
"150",5600000,6600,4,2,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
"151",5600000,5136,3,1,2,"yes","yes","yes","no","yes",0,"yes","unfurnished"
"152",5565000,4400,4,1,2,"yes","no","no","no","yes",2,"yes","semi-furnished"
"153",5565000,5400,5,1,2,"yes","yes","yes","no","yes",0,"yes","furnished"
"154",5530000,3300,3,3,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"155",5530000,3650,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished"
"156",5530000,6100,3,2,1,"yes","no","yes","no","no",2,"yes","furnished"
"157",5523000,6900,3,1,1,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"158",5495000,2817,4,2,2,"no","yes","yes","no","no",1,"no","furnished"
"159",5495000,7980,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
"160",5460000,3150,3,2,1,"yes","yes","yes","no","yes",0,"no","furnished"
"161",5460000,6210,4,1,4,"yes","yes","no","no","yes",0,"no","furnished"
"162",5460000,6100,3,1,3,"yes","yes","no","no","yes",0,"yes","semi-furnished"
"163",5460000,6600,4,2,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"164",5425000,6825,3,1,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"165",5390000,6710,3,2,2,"yes","yes","yes","no","no",1,"yes","furnished"
"166",5383000,6450,3,2,1,"yes","yes","yes","yes","no",0,"no","unfurnished"
"167",5320000,7800,3,1,1,"yes","no","yes","no","yes",2,"yes","unfurnished"
"168",5285000,4600,2,2,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"169",5250000,4260,4,1,2,"yes","no","yes","no","yes",0,"no","furnished"
"170",5250000,6540,4,2,2,"no","no","no","no","yes",0,"no","semi-furnished"
"171",5250000,5500,3,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"172",5250000,10269,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished"
"173",5250000,8400,3,1,2,"yes","yes","yes","no","yes",2,"yes","unfurnished"
"174",5250000,5300,4,2,1,"yes","no","no","no","yes",0,"yes","unfurnished"
"175",5250000,3800,3,1,2,"yes","yes","yes","no","no",1,"yes","unfurnished"
"176",5250000,9800,4,2,2,"yes","yes","no","no","no",2,"no","semi-furnished"
"177",5250000,8520,3,1,1,"yes","no","no","no","yes",2,"no","furnished"
"178",5243000,6050,3,1,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
"179",5229000,7085,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
"180",5215000,3180,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished"
"181",5215000,4500,4,2,1,"no","no","yes","no","yes",2,"no","semi-furnished"
"182",5215000,7200,3,1,2,"yes","yes","yes","no","no",1,"yes","furnished"
"183",5145000,3410,3,1,2,"no","no","no","no","yes",0,"no","semi-furnished"
"184",5145000,7980,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished"
"185",5110000,3000,3,2,2,"yes","yes","yes","no","no",0,"no","furnished"
"186",5110000,3000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"187",5110000,11410,2,1,2,"yes","no","no","no","no",0,"yes","furnished"
"188",5110000,6100,3,1,1,"yes","no","yes","no","yes",0,"yes","semi-furnished"
"189",5075000,5720,2,1,2,"yes","no","no","no","yes",0,"yes","unfurnished"
"190",5040000,3540,2,1,1,"no","yes","yes","no","no",0,"no","semi-furnished"
"191",5040000,7600,4,1,2,"yes","no","no","no","yes",2,"no","furnished"
"192",5040000,10700,3,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
"193",5040000,6600,3,1,1,"yes","yes","yes","no","no",0,"yes","furnished"
"194",5033000,4800,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"195",5005000,8150,3,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"196",4970000,4410,4,3,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"197",4970000,7686,3,1,1,"yes","yes","yes","yes","no",0,"no","semi-furnished"
"198",4956000,2800,3,2,2,"no","no","yes","no","yes",1,"no","semi-furnished"
"199",4935000,5948,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"200",4907000,4200,3,1,2,"yes","no","no","no","no",1,"no","furnished"
"201",4900000,4520,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished"
"202",4900000,4095,3,1,2,"no","yes","yes","no","yes",0,"no","semi-furnished"
"203",4900000,4120,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
"204",4900000,5400,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"205",4900000,4770,3,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"206",4900000,6300,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"207",4900000,5800,2,1,1,"yes","yes","yes","no","yes",0,"no","semi-furnished"
"208",4900000,3000,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished"
"209",4900000,2970,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
"210",4900000,6720,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"211",4900000,4646,3,1,2,"yes","yes","yes","no","no",2,"no","semi-furnished"
"212",4900000,12900,3,1,1,"yes","no","no","no","no",2,"no","furnished"
"213",4893000,3420,4,2,2,"yes","no","yes","no","yes",2,"no","semi-furnished"
"214",4893000,4995,4,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"215",4865000,4350,2,1,1,"yes","no","yes","no","no",0,"no","unfurnished"
"216",4830000,4160,3,1,3,"yes","no","no","no","no",0,"no","unfurnished"
"217",4830000,6040,3,1,1,"yes","no","no","no","no",2,"yes","semi-furnished"
"218",4830000,6862,3,1,2,"yes","no","no","no","yes",2,"yes","furnished"
"219",4830000,4815,2,1,1,"yes","no","no","no","yes",0,"yes","semi-furnished"
"220",4795000,7000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"221",4795000,8100,4,1,4,"yes","no","yes","no","yes",2,"no","semi-furnished"
"222",4767000,3420,4,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
"223",4760000,9166,2,1,1,"yes","no","yes","no","yes",2,"no","semi-furnished"
"224",4760000,6321,3,1,2,"yes","no","yes","no","yes",1,"no","furnished"
"225",4760000,10240,2,1,1,"yes","no","no","no","yes",2,"yes","unfurnished"
"226",4753000,6440,2,1,1,"yes","no","no","no","yes",3,"no","semi-furnished"
"227",4690000,5170,3,1,4,"yes","no","no","no","yes",0,"no","semi-furnished"
"228",4690000,6000,2,1,1,"yes","no","yes","no","yes",1,"no","furnished"
"229",4690000,3630,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
"230",4690000,9667,4,2,2,"yes","yes","yes","no","no",1,"no","semi-furnished"
"231",4690000,5400,2,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"232",4690000,4320,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"233",4655000,3745,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
"234",4620000,4160,3,1,1,"yes","yes","yes","no","yes",0,"no","unfurnished"
"235",4620000,3880,3,2,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"236",4620000,5680,3,1,2,"yes","yes","no","no","yes",1,"no","semi-furnished"
"237",4620000,2870,2,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"238",4620000,5010,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"239",4613000,4510,4,2,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"240",4585000,4000,3,1,2,"yes","no","no","no","no",1,"no","furnished"
"241",4585000,3840,3,1,2,"yes","no","no","no","no",1,"yes","semi-furnished"
"242",4550000,3760,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
"243",4550000,3640,3,1,2,"yes","no","no","no","yes",0,"no","furnished"
"244",4550000,2550,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
"245",4550000,5320,3,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"246",4550000,5360,3,1,2,"yes","no","no","no","no",2,"yes","unfurnished"
"247",4550000,3520,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"248",4550000,8400,4,1,4,"yes","no","no","no","no",3,"no","unfurnished"
"249",4543000,4100,2,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"250",4543000,4990,4,2,2,"yes","yes","yes","no","no",0,"yes","furnished"
"251",4515000,3510,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
"252",4515000,3450,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
"253",4515000,9860,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"254",4515000,3520,2,1,2,"yes","no","no","no","no",0,"yes","furnished"
"255",4480000,4510,4,1,2,"yes","no","no","no","yes",2,"no","semi-furnished"
"256",4480000,5885,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished"
"257",4480000,4000,3,1,2,"yes","no","no","no","no",2,"no","furnished"
"258",4480000,8250,3,1,1,"yes","no","no","no","no",0,"no","furnished"
"259",4480000,4040,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"260",4473000,6360,2,1,1,"yes","no","yes","no","yes",1,"no","furnished"
"261",4473000,3162,3,1,2,"yes","no","no","no","yes",1,"no","furnished"
"262",4473000,3510,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"263",4445000,3750,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"264",4410000,3968,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
"265",4410000,4900,2,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"266",4403000,2880,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"267",4403000,4880,3,1,1,"yes","no","no","no","no",2,"yes","unfurnished"
"268",4403000,4920,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"269",4382000,4950,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"270",4375000,3900,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"271",4340000,4500,3,2,3,"yes","no","no","yes","no",1,"no","furnished"
"272",4340000,1905,5,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
"273",4340000,4075,3,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
"274",4340000,3500,4,1,2,"yes","no","no","no","no",2,"no","furnished"
"275",4340000,6450,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"276",4319000,4032,2,1,1,"yes","no","yes","no","no",0,"no","furnished"
"277",4305000,4400,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"278",4305000,10360,2,1,1,"yes","no","no","no","no",1,"yes","semi-furnished"
"279",4277000,3400,3,1,2,"yes","no","yes","no","no",2,"yes","semi-furnished"
"280",4270000,6360,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"281",4270000,6360,2,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"282",4270000,4500,2,1,1,"yes","no","no","no","yes",2,"no","furnished"
"283",4270000,2175,3,1,2,"no","yes","yes","no","yes",0,"no","unfurnished"
"284",4270000,4360,4,1,2,"yes","no","no","no","no",0,"no","furnished"
"285",4270000,7770,2,1,1,"yes","no","no","no","no",1,"no","furnished"
"286",4235000,6650,3,1,2,"yes","yes","no","no","no",0,"no","semi-furnished"
"287",4235000,2787,3,1,1,"yes","no","yes","no","no",0,"yes","furnished"
"288",4200000,5500,3,1,2,"yes","no","no","no","yes",0,"no","unfurnished"
"289",4200000,5040,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
"290",4200000,5850,2,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
"291",4200000,2610,4,3,2,"no","no","no","no","no",0,"no","semi-furnished"
"292",4200000,2953,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
"293",4200000,2747,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
"294",4200000,4410,2,1,1,"no","no","no","no","no",1,"no","unfurnished"
"295",4200000,4000,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
"296",4200000,2325,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
"297",4200000,4600,3,2,2,"yes","no","no","no","yes",1,"no","semi-furnished"
"298",4200000,3640,3,2,2,"yes","no","yes","no","no",0,"no","unfurnished"
"299",4200000,5800,3,1,1,"yes","no","no","yes","no",2,"no","semi-furnished"
"300",4200000,7000,3,1,1,"yes","no","no","no","no",3,"no","furnished"
"301",4200000,4079,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
"302",4200000,3520,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"303",4200000,2145,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished"
"304",4200000,4500,3,1,1,"yes","no","yes","no","no",0,"no","furnished"
"305",4193000,8250,3,1,1,"yes","no","yes","no","no",3,"no","semi-furnished"
"306",4193000,3450,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"307",4165000,4840,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"308",4165000,4080,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
"309",4165000,4046,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
"310",4130000,4632,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"311",4130000,5985,3,1,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"312",4123000,6060,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
"313",4098500,3600,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
"314",4095000,3680,3,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
"315",4095000,4040,2,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"316",4095000,5600,2,1,1,"yes","no","no","no","yes",0,"no","semi-furnished"
"317",4060000,5900,4,2,2,"no","no","yes","no","no",1,"no","unfurnished"
"318",4060000,4992,3,2,2,"yes","no","no","no","no",2,"no","unfurnished"
"319",4060000,4340,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"320",4060000,3000,4,1,3,"yes","no","yes","no","yes",2,"no","semi-furnished"
"321",4060000,4320,3,1,2,"yes","no","no","no","no",2,"yes","furnished"
"322",4025000,3630,3,2,2,"yes","no","no","yes","no",2,"no","semi-furnished"
"323",4025000,3460,3,2,1,"yes","no","yes","no","yes",1,"no","furnished"
"324",4025000,5400,3,1,1,"yes","no","no","no","no",3,"no","semi-furnished"
"325",4007500,4500,3,1,2,"no","no","yes","no","yes",0,"no","semi-furnished"
"326",4007500,3460,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"327",3990000,4100,4,1,1,"no","no","yes","no","no",0,"no","unfurnished"
"328",3990000,6480,3,1,2,"no","no","no","no","yes",1,"no","semi-furnished"
"329",3990000,4500,3,2,2,"no","no","yes","no","yes",0,"no","semi-furnished"
"330",3990000,3960,3,1,2,"yes","no","no","no","no",0,"no","furnished"
"331",3990000,4050,2,1,2,"yes","yes","yes","no","no",0,"yes","unfurnished"
"332",3920000,7260,3,2,1,"yes","yes","yes","no","no",3,"no","furnished"
"333",3920000,5500,4,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
"334",3920000,3000,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"335",3920000,3290,2,1,1,"yes","no","no","yes","no",1,"no","furnished"
